Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Germany,DEU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,2.139070296,2.032682921,2.193511848,2.539468232,1.681662349,1.488865215,1.711669996,1.905194293,4.007640881,3.710818814,11.68659971,14.51176387,32.69257601,24.64407736,24.87929961,30.61977798,23.41306265,20.176847,25.56706646,27.37791096,22.43547193,5.998998641,44.67568245,65.59794737,59.61394813,93.80152837,66.86482708,41.94196698,40.66453854,41.9740809,45.24516501,65.14294679,95.01568308,111.8649872,52.40860458,43.96479036,41.9704483,35.43789841,35.15480705,32.63143317,43.02535246,32.39652103,42.22873909,40.66355155,34.72868057,46.63864557,,
Djibouti,DJI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,0.133417646,0.145819332,0.098424391,0.102712508,0.089374535,0.076707857,0.092003466,0.092398031,0.277072224,0.269722076,2.402734147,2.334124459,1.960943677,4.327291553,12.45283248,8.603394887,7.208796592,9.943307647,13.98679653,16.51721297,14.16501044,18.01866014,25.27457273,37.93039336,31.22108267,54.77034105,40.06652154,18.19795591,20.11829912,27.12684973,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.23368078,18.04591547,17.63644295,27.08170529,31.12733572,25.78266695,,50.27375456,29.38919406,21.10698517,24.61938184,27.12940333,18.56367175,37.79480178,145.3350505,70.81837497,127.307379,112.0938863,75.10957139,52.92913602,71.18145769,99.2854575,302.0354259,140.036108,121.2889012,83.71485814,111.0665521,188.118752,,
Early-demographic dividend,EAR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.43778357,12.43258658,10.97432865,13.21718379,32.52910736,16.29873637,14.95041569,22.5055329,37.65908797,53.23539471,59.13830934,50.89617518,38.96367951,38.1532377,32.19907979,23.46427201,23.96501747,22.26619908,25.82007578,25.34489555,24.58585421,27.28923364,26.88148745,25.8637779,48.28685507,,
East Asia & Pacific,EAS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,9.837519945,13.37276387,12.34691038,16.97863401,13.43261698,13.72858972,17.69730447,12.28137722,18.52712604,19.8652218,25.89979499,46.89757166,71.61875301,76.72043688,94.35869962,57.98531585,33.87269085,22.75879141,29.4083955,35.14713628,26.30329187,32.60608847,45.8244029,42.49671205,66.8831648,65.5546644,47.81962752,50.72059089,55.66674667,68.62965746,77.05721463,100.262068,166.701478,107.4705253,119.4636451,110.6337984,88.59445536,64.79620561,88.85635323,100.1586054,234.1848524,127.5547601,123.4122154,102.83981,111.3010994,189.4936741,,
Europe & Central Asia (excluding high income),ECA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.56151925,18.00799546,21.84111828,24.39145266,25.27884408,48.08963337,74.4576934,51.6665003,39.74912956,34.0122566,27.33041826,19.59260815,16.3844227,15.46354934,18.35005431,17.40985548,18.9259477,18.46990676,18.10049539,45.53661016,,
